judul,foto,penulis,porsi,bahan,langkah,durasi,url,tag
377. Marmer Cake Simpel (Metode All In One),https://img-global.cpcdn.com/recipes/7dce6b5599fb98b1/1280x1280sq70/377-marmer-cake-simpel-metode-all-in-one-foto-resep-utama.jpg,Shanty Bambang,1 Orang,"[{'grup': 'Bahan Utama', 'jumlah': '', 'bahan': 'pasta Coklat'}, {'grup': 'Bahan Utama', 'jumlah': '2 sdm', 'bahan': 'Coklat Bubuk'}, {'grup': 'Bahan Utama', 'jumlah': '45 sdm', 'bahan': 'Air Panas'}, {'grup': 'Bahan Utama', 'jumlah': '', 'bahan': 'Bahan Biasa'}, {'grup': 'Bahan Utama', 'jumlah': '100 gr', 'bahan': 'Margarine'}, {'grup': 'Bahan Utama', 'jumlah': '50 mL', 'bahan': 'Minyak Sayuran'}, {'grup': 'Bahan Utama', 'jumlah': '', 'bahan': 'Bahan C'}, {'grup': 'Bahan Utama', 'jumlah': '135 gr', 'bahan': 'Gula Butiran Halus'}, {'grup': 'Bahan Utama', 'jumlah': '5 Butir', 'bahan': 'Telur'}, {'grup': 'Bahan Utama', 'jumlah': '1 sdt', 'bahan': 'Sp'}, {'grup': 'Bahan Utama', 'jumlah': '150 gr', 'bahan': 'Tepung Pro Sedang'}, {'grup': 'Bahan Utama', 'jumlah': '50 gr', 'bahan': 'Maizena'}, {'grup': 'Bahan Utama', 'jumlah': '25 gr', 'bahan': 'Susu Bubuk'}, {'grup': 'Bahan Utama', 'jumlah': '', 'bahan': 'Bahan Lain'}, {'grup': 'Bahan Utama', 'jumlah': '50 gr', 'bahan': 'Keju Cheddar Parut'}, {'grup': 'Bahan Utama', 'jumlah': '', 'bahan': 'Topping'}, {'grup': 'Bahan Utama', 'jumlah': '', 'bahan': 'Secukupnya Kenari'}, {'grup': 'Bahan Utama', 'jumlah': '', 'bahan': 'Secukupnya Keju Parut'}]","['Buat pasta campur semua bahan a, aduk rata sisihkan', 'Lelehkan margarine dengan cara di tim, tambahkan minyak dinginkan sisihkan dalam wadah lain, kocok semu bahan biasa kecuali keju sampai kental berjejak', 'Jika sudah kental berjejak, tambahkan margarin dan minyak cair, aduk balik', 'Ambil 34 sendok sayuran adonan dan campurkan ke pasta coklat', 'Tambahkan keju parut ke adonan putih aduk rata tuang adonan putih dan coklat bergantian ke dalam loyang yang telah dioles margarine dan ditaburi sedikit tepung lakukan sampai adonan habis', 'Buat pola di bagian atas adonan dengan bantuan sumpit atau gagang sendok hentakkan 34 kali dan beri taburan kenari dan keju', 'Panggang selama 3035 menit atau sampai matang di suhu 175 derajat bisa tes tusuk jangan lupa panaskan oven 15 menit sebelumnya', 'Jika sudah matang, keluarkan dari loyang tunggu uap panas hilang sebelum dipotong cake siap disantap']",60 Menit,https://cookpad.com/id/resep/24616996-377-marmer-cake-simpel-metode-all-in-one,"['adonan', 'keju', 'cake']"
1186. Mochi miniatur kelapa versi simple,https://img-global.cpcdn.com/recipes/6c42f054921a0bc6/1280x1280sq70/1186-mochi-miniatur-kelapa-versi-simple-foto-resep-utama.jpg,Naqiyyah 🍒,2 Orang,"[{'grup': 'Bahan Utama', 'jumlah': '', 'bahan': 'Daging Kelapa'}, {'grup': 'Bahan Utama', 'jumlah': '65 mL (1 Pack)', 'bahan': 'Santan Rose Brand'}, {'grup': 'Bahan Utama', 'jumlah': '25 gr', 'bahan': 'Tapioka Rose Brand (yang Gambar Pak Tani)'}, {'grup': 'Bahan Utama', 'jumlah': '15 gr', 'bahan': 'Maizena Rose Brand'}, {'grup': 'Bahan Utama', 'jumlah': '20 gr', 'bahan': 'Gula Pasir Rose Brand'}, {'grup': 'Bahan Utama', 'jumlah': '15 sdm (150 Ml)', 'bahan': 'Air Kelapa'}]","['Sangrai kelapa parut sampai kecoklatan, sisihkan', 'Siapkan bahan, timbang dan takar sesuai semua bahan letakkan tepung tapioka rose brand, maizena rose brand dan gula pasir rose brad di wajan anti lengkettambahkan santan kelapa rose brand dan air kelapa, aduk rata sampai tidak ada bahan kering yang masih bergerindilmenggumpal', 'Panaskan adonan menggunakan api kecil sambil diaduk adonan akan menggumpal dan matang setelah adonan tidak ada yang menempel lagi di wajan, matikan api aduk terus sampai uap panasnya hilang', 'Bagi adonan menjadi 3 atau 4 ambil satu lalu letakkan diantara 2 lembar plastik beri isian bola air kelapa dan tutup dengan cara mencubitcubitnya', 'Untuk versi simple, lukis bagian luar dengan pasta coklatselai coklat tipistipis langsung gulingkan ke sangrai kelapa dan balut seluruh permukaan mochi dengan sangrai kelapa', 'Mochi kelapa sudah bisa langsung dinikmati tapi lebih menyenangkan jika didinginkan dahulu di kulkas untuk membelah dan mengambil gambar mochi kelapa, sangat disarankan untuk mendinginkan dahulu mochi kelapa tidak masalah menyimpan di freezer selama berapa jam, jangam khawatir karena mochinya tidak akan menjadi sekeras batu']",120 Menit,https://cookpad.com/id/resep/24777487-1186-mochi-miniatur-kelapa-versi-simple,"['kelapa', 'mochi', 'rose']"
"Burnt Kentang Yogurt Cheese | Diblender, Simpel, Lumer!",https://img-global.cpcdn.com/recipes/a9e84b765db65ef4/1280x1280sq70/burnt-kentang-yogurt-cheese-diblender-simpel-lumer-foto-resep-utama.jpg,Zahrotul An,1 Orang,"[{'grup': 'Bahan Utama', 'jumlah': '190 gr', 'bahan': 'Kentang Kukus'}, {'grup': 'Bahan Utama', 'jumlah': '200 gr', 'bahan': 'Yogurt Plain'}, {'grup': 'Bahan Utama', 'jumlah': '1 Butir', 'bahan': 'Telur'}, {'grup': 'Bahan Utama', 'jumlah': '25 gr', 'bahan': 'Mentega Cair'}, {'grup': 'Bahan Utama', 'jumlah': '12 Bungkus', 'bahan': 'Keju Cheddar'}, {'grup': 'Bahan Utama', 'jumlah': '1,5 sdm', 'bahan': 'Susu Bubuk Skim'}, {'grup': 'Bahan Utama', 'jumlah': '2', 'bahan': 'Gula Pasir'}]","['Masukkan semua bahan ke dalam blender kentang kukus, yogurt pakai sedikit untuk liquid blender, telur, keju, gula blender hingga adonan halus dan creamy pastikan tidak ada kentang yang menggumpal tuang ke sisa yogurt aduk rata', 'Masukkan susu skim, dan mentega cair aku pakai mentega bukan margarin agar hasilnya lebih wangi aduk rata', 'Tuang ke loyang bulat 16 cm yang sudah dialasi baking paper jangan isi sampai penuh loyang 16 cm menghasilkan tinggi sedang, kalau ingin lebih tinggi bisa pakai loyang 14 cm', 'Panggang dalam oven yang sudah dipanaskansuhu 200c aku pakai otang, 3540 menitpanggang hingga bagian atas terlihat caramelized (gosong cantik), dan bagian tengah masih sedikit bergoyang saat digoyang aku tidak terlalu gosong karena pakai otang, jadi pakai api bawah saja, nah takut tengahnya terlalu matang dan tidak bisa disendok nanti hihi balik ke selera ya', 'Dinginkan di suhu ruang, lalu simpan di kulkas minimal 4 jam (ideal semalaman) agar lumer dan set walaupun bahan seadanya tapi nikmat banget dingin dingin creamy, asam segar, cheese banget karena tidak pakai banyak telur, hasil akhirnya creamylumer tapi tetap padat setelah dingin yogurt membuat teksturnya agak ringan dan asam segar, cocok disajikan dingin']",45 Menit,https://cookpad.com/id/resep/24782857-burnt-kentang-yogurt-cheese-diblender-simpel-lumer,"['yogurt', 'dingin', 'kentang']"
Wedang Kunyit Madu Praktis,https://img-global.cpcdn.com/recipes/e26be4b730108f70/1280x1280sq70/wedang-kunyit-madu-praktis-foto-resep-utama.jpg,Avita Unaiya,3 Orang,"[{'grup': 'Bahan Utama', 'jumlah': '5 gr (1 Sachet)', 'bahan': 'Bubuk Kunyit Desaku'}, {'grup': 'Bahan Utama', 'jumlah': '750 mL', 'bahan': 'Air Panas'}, {'grup': 'Bahan Utama', 'jumlah': 'Secukupnya', 'bahan': 'Madu'}, {'grup': 'Bahan Utama', 'jumlah': 'Secukupnya', 'bahan': 'Es Batu'}]","['Tuang bubuk kunyit dan air panas di satu wadah, aduk rata, diamkan hingga suhu ruang', 'Taruh es batu di gelas, lalu tuang madu ke dalam gelas', 'Setelah wedang kunyit suhunya mencapai suhu ruang, tuang ke gelas saji aduk rata dan siap disajikan']",20 Menit,https://cookpad.com/id/resep/24782608-wedang-kunyit-madu-praktis,"['kunyit', 'gelas', 'wedang']"
Siomay Dimsum 3 bahan paling mudah,https://img-global.cpcdn.com/recipes/b5e1aea6479913d7/1280x1280sq70/siomay-dimsum-3-bahan-paling-mudah-foto-resep-utama.jpg,Manja Sari Ta,2 Orang,"[{'grup': 'Bahan Utama', 'jumlah': '150 gr', 'bahan': 'Dada Ayam Segar'}, {'grup': 'Bahan Utama', 'jumlah': '30 gr', 'bahan': 'Wortel'}, {'grup': 'Bahan Utama', 'jumlah': '1 Cube', 'bahan': 'Es Batu'}, {'grup': 'Bahan Utama', 'jumlah': '2 Siung', 'bahan': 'Bawang Putih'}, {'grup': 'Bahan Utama', 'jumlah': '1 12 sdm', 'bahan': 'Tapioka'}, {'grup': 'Bahan Utama', 'jumlah': '1 sdm', 'bahan': 'Minyak Wijen'}, {'grup': 'Bahan Utama', 'jumlah': '1 sdm', 'bahan': 'Saus Tiram'}, {'grup': 'Bahan Utama', 'jumlah': '12 sdt', 'bahan': 'Garam Halus'}, {'grup': 'Bahan Utama', 'jumlah': '14 sdt', 'bahan': 'Royco Ayam'}, {'grup': 'Bahan Utama', 'jumlah': '14 sdt', 'bahan': 'Ladaku'}, {'grup': 'Bahan Tambahan', 'jumlah': '15 Lembar', 'bahan': 'Kulit Dimsum 75 Cm'}, {'grup': 'Bahan Tambahan', 'jumlah': 'Secukupnya', 'bahan': 'Wortel Serut'}, {'grup': 'Bahan Tambahan', 'jumlah': '', 'bahan': 'Minyak Goreng'}]","['Masukkan semua bahan kedalam chopper', 'Haluskan sampai sesuai tekstur yang diinginkan (aku haluskan sampai 70 aja)', 'Isi kukusan dengan air secukupnya pasang sarangan olesi dengan sedikit minyak goreng', 'Pegang 1 kulit dimsum di telapak tangan dan oleskan 1 sdm adonan bentuk menjadi bentuk dimsum letakkan didalam kukusan ulang sampai semua adonan habis beri toping wortel serut', 'Kukus selama 2030 menit siomay dimsum siap disajikan']",60 Menit,https://cookpad.com/id/resep/24778405-siomay-dimsum-3-bahan-paling-mudah,"['dimsum', 'siomay', 'kukusan']"
Teri Goreng Sederhana,https://img-global.cpcdn.com/recipes/fac250035fd1987c/1280x1280sq70/teri-goreng-sederhana-foto-resep-utama.jpg,"RA Laksitoresmi Indriati, A.Md, S.SI.",5 Orang,"[{'grup': 'Bahan Utama', 'jumlah': 'Secukupnya', 'bahan': 'Teri'}, {'grup': 'Bahan Utama', 'jumlah': '3 Batang', 'bahan': 'Daun Bawang'}, {'grup': 'Bahan Utama', 'jumlah': '4 Siung', 'bahan': 'Bawang Merah Brebes'}, {'grup': 'Bahan Utama', 'jumlah': '3 Siung', 'bahan': 'Bawang Putih Banci'}, {'grup': 'Bahan Utama', 'jumlah': '200 mL', 'bahan': 'Minyak Goreng'}]","['Tidak sudah di cuci, yang penting kepala ikan di buang semuanya cuci daun bawang dan kedua bawang, kemudian di irisiris', 'Panaskan minyak goreng, masukkan teri tersebut ke dalam minyak tadi api sedang kemudian oseng2 hingga teri garing bersentuhan dengan sutilsusuk kemudian siapkan teflon untuk menaruh teri yang sudah di angkatdi ntas tadi, sutil di pinggir wajan spya minyak turun lalu teflon yang nampung, bgtu', 'Taruh teflon di atas kompor nyalakan api kecil, tambahkan daun bawang kedua bawang tadi, bolakbalik agar layu dan wangi meresap agar masak an sedep beberapa x bolak balik, tanpa di beri minyak lagi, karena ciri teflon tidak lengket ok,,', 'Sajikan di meja makan, monggo dahar selamat mencoba']",Tidak ada,https://cookpad.com/id/resep/24781468-teri-goreng-sederhana,"['teri', 'bawang', 'teflon']"
"Pangsit ayam udang bengkoang. Dijamin enak, simpel, comfort food",https://img-global.cpcdn.com/recipes/b099c5ae40b702b5/1280x1280sq70/pangsit-ayam-udang-bengkoang-dijamin-enak-simpel-comfort-food-foto-resep-utama.jpg,Fransisca Lipin,4 Orang,"[{'grup': 'Bahan Utama', 'jumlah': '250 gr', 'bahan': 'Ayam Fillet  Dada atau Paha'}, {'grup': 'Bahan Utama', 'jumlah': '500 gr', 'bahan': 'Udang'}, {'grup': 'Bahan Utama', 'jumlah': '1 Buah', 'bahan': 'Wortel'}, {'grup': 'Bahan Utama', 'jumlah': '1 Buah', 'bahan': 'Bengkoang Ukuran Sedang'}, {'grup': 'Bahan Utama', 'jumlah': '5 Helai', 'bahan': 'Daun Bawang'}, {'grup': 'Bahan Utama', 'jumlah': '', 'bahan': 'Bawang Merah'}, {'grup': 'Bahan Utama', 'jumlah': '', 'bahan': 'Bawang Putih'}, {'grup': 'Bahan Utama', 'jumlah': '', 'bahan': 'Garam'}, {'grup': 'Bahan Utama', 'jumlah': '', 'bahan': 'Gula'}, {'grup': 'Bahan Utama', 'jumlah': '1 Sendok Makan', 'bahan': 'Tepung Tapioka'}, {'grup': 'Bahan Utama', 'jumlah': '3 Sendok Makan', 'bahan': 'Tepung Terigu'}, {'grup': 'Bahan Utama', 'jumlah': '1 Sendok Teh', 'bahan': 'Merica Bubuk Putih'}, {'grup': 'Bahan Utama', 'jumlah': '1 Sendok Teh', 'bahan': 'Bubuk Gohyong'}, {'grup': 'Bahan Utama', 'jumlah': '1 Sendok Teh', 'bahan': 'Royco Rasa Ayam'}, {'grup': 'Bahan Utama', 'jumlah': '1 Sendok Makan', 'bahan': 'Minyak Wijen'}, {'grup': 'Bahan Utama', 'jumlah': '2 Sendok Makan', 'bahan': 'Saori Saus Tiram'}]","['Parut 1 buah wortel, sisihkan', 'Parut 1 buah bengkoang ukuran sedang, sisihkan', 'Giling semua bahan yang ada di atas dengan food processor kecuali daun bawang', 'Kalau sudah, bisa tes rasa sedikit2 kalau asin manis nya sudah pas, baru tambahkan daun bawang, diaduk2 saja', 'Ingat tepung terigu harus lebih banyak daripada tepung tapioka', 'Kalau sudah tercampur rata, masukkan adonan secukupnya ke kulit pangsit tidak usah banyak2, secukupnya saja', 'Lalu rebus pangsit dengan api sedang, sampai matang kurang lebih di rebus selama 10 menit, api sedang lalu bisa diangkat, tiriskan, dan segera masukkan ke kuah kaldu yang sudah diberi 1 sendok makan minyak wijen dan bawang putih goreng', 'Tips kalau ingin seperti restoran minyak wijen, bawang putih goreng, dan bubuk ngohiong itu harus dipakai tidak bisa di skip', 'Minyak wijen yang enak itu merk chee seng dari singapore yang ada gambar 2 menara nya bubuk ngohiong bisa pakai merk koepoekoepoe', 'Bengkoang dan wortel harus ada ya tidak bisa di skip supaya teksturnya nanti bisa crunchy2 enak']",90 Menit,https://cookpad.com/id/resep/24788188-pangsit-ayam-udang-bengkoang-dijamin-enak-simpel-comfort-food,"['bawang', 'pangsit', 'bengkoang']"
Sempol ayam simple,https://img-global.cpcdn.com/recipes/df319f1637dd66b3/1280x1280sq70/sempol-ayam-simple-foto-resep-utama.jpg,Mamah Amel,2 Orang,"[{'grup': 'Bahan Utama', 'jumlah': '200 gr', 'bahan': 'Dada Ayam Cincang'}, {'grup': 'Bahan Utama', 'jumlah': '8 sdm', 'bahan': 'Tepung Tapioka'}, {'grup': 'Bahan Utama', 'jumlah': '1 Butir', 'bahan': 'Telur'}, {'grup': 'Bahan Utama', 'jumlah': 'Secukupnya', 'bahan': 'Bawang Goreng'}, {'grup': 'Bahan Utama', 'jumlah': 'Secukupnya', 'bahan': 'Kaldu Ayam'}, {'grup': 'Bahan Utama', 'jumlah': 'Secukupnya', 'bahan': 'Garam'}, {'grup': 'Bahan Utama', 'jumlah': 'Secukupnya', 'bahan': 'Lada'}, {'grup': 'Bahan Utama', 'jumlah': 'Secukupnya', 'bahan': 'Tepung Panir'}, {'grup': 'Bahan Utama', 'jumlah': 'Secukupnya', 'bahan': 'Minyak Goreng'}]","['Campurkan dada ayam cincang, bawang goreng dengan tepung tapioka, tambahkan perbumbuan dan telur, aduk sampai rata', 'Setelah tercampur rata, jangan lupa oleskan minyak di tangan sebelum membentuk sempolnya supaya tidak lengket, bentuk sesuai selera sampai adonan habis kalau saya disini bisa jadi sampai kurleb 30 tusuk, sesuaikan saja ya', 'Setelah sempolnya dibentuk, balurkan ke tepung panir sampai rata sisihkan', 'Panaskan minyak, setelah minyaknya panas, masukan sempol, gorengnya pakai api sedang saja iya supaya matengnya rata kalau sudah keemasan (kaya warna risoles, hehe) angkat dan sajikan dengan saos atau mayones', 'Catatan ada beberapa tutorial yang sempolnya direbus dahulu baru digoreng, kalau versi saya disini, setelah sempolnya dibentuk dan dibaluri tepung panir, langsung digoreng menurut versi saya kalau direbus dahulu sempolnya jadi agak keras pas digoreng sesuaikan sama selera saja ya']",60 Menit,https://cookpad.com/id/resep/24778302-sempol-ayam-simple,"['sempolnya', 'tepung', 'digoreng']"
Mie Goreng Simple,https://img-global.cpcdn.com/recipes/d1afcb90d33589d1/1280x1280sq70/mie-goreng-simple-foto-resep-utama.jpg,Annisa sr,4 Orang,"[{'grup': 'Bahan Utama', 'jumlah': '400 gr', 'bahan': 'Mie Telur Kering'}, {'grup': 'Bahan Utama', 'jumlah': '2 sdm', 'bahan': 'Minyak Wijen, Optional'}, {'grup': 'Bahan Utama', 'jumlah': '3 Butir', 'bahan': 'Telur'}, {'grup': 'Bahan Utama', 'jumlah': '4 Butir', 'bahan': 'Bawang Merah'}, {'grup': 'Bahan Utama', 'jumlah': '3 Siung', 'bahan': 'Bawang Putih'}, {'grup': 'Bahan Utama', 'jumlah': '10 Buah', 'bahan': 'Cabai Rawit'}, {'grup': 'Bahan Utama', 'jumlah': '1 Batang', 'bahan': 'Daun Bawang'}, {'grup': 'Bahan Utama', 'jumlah': '1 sdm', 'bahan': 'Minyak Goreng'}, {'grup': 'Bumbu Saus', 'jumlah': '1 sdm', 'bahan': 'Kecap Asin'}, {'grup': 'Bumbu Saus', 'jumlah': '2 sdm', 'bahan': 'Saus Tiram'}, {'grup': 'Bumbu Saus', 'jumlah': '1 sdm', 'bahan': 'Kecap Ikan, Optional'}, {'grup': 'Bumbu Saus', 'jumlah': '3 sdm', 'bahan': 'Kecap Manis'}, {'grup': 'Bumbu Saus', 'jumlah': '4 sdm', 'bahan': 'Saus Sambal'}, {'grup': 'Bumbu Saus', 'jumlah': '12 sdt', 'bahan': 'Lada Bubuk'}, {'grup': 'Bumbu Saus', 'jumlah': '12 sdt', 'bahan': 'Garam'}, {'grup': 'Bumbu Saus', 'jumlah': '12 sdt', 'bahan': 'Kaldu Bubuk'}, {'grup': 'Bumbu Saus', 'jumlah': '300 mL', 'bahan': 'Air'}]","['Rebus air hingga mendidih kemudian rebus mie telur hingga matang lalu angkat dan tiriskan kemudian beri minyak wijen (bisa diganti minyak goreng), aduk rata', 'Irisiris bawang merah, bawang putih, dan potongpotong cabai rawit, dan daun bawang kemudian panaskan minyak goreng, tumis bawang merah, dan bawang putih hingga harum', 'Sambil menunggu tumisan bawang, campurkan semua bahan saus, lalu beri air, aduk rata', 'Campurkan telur dengan sejumput garam, kocok rata lalu pinggirkan tumisan bawang, masukkan telur, orakarik', 'Kemudian masukkan cabai dan daun bawang potong masukkan juga bumbu saus, aduk rata', 'Kemudian masukkan mie, aduk rata kemudian tes rasa, matikan api, angkat dan sajikan']",30 Menit,https://cookpad.com/id/resep/24785323-mie-goreng-simple,"['bawang', 'mie', 'telur']"
Sticky Milk Simple,https://img-global.cpcdn.com/recipes/3ad2b20eab43be58/1280x1280sq70/sticky-milk-simple-foto-resep-utama.jpg,salma mumtazah,2 Orang,"[{'grup': 'Bahan Utama', 'jumlah': '1 Bungkus', 'bahan': 'Pop Ice'}, {'grup': 'Bahan Utama', 'jumlah': '25 gr', 'bahan': 'Krimer Bubuk'}, {'grup': 'Bahan Utama', 'jumlah': '50 mL', 'bahan': 'Air Hangat'}, {'grup': 'Bahan Utama', 'jumlah': '25 gr', 'bahan': 'Gula Pasir'}, {'grup': 'Bahan Utama', 'jumlah': 'Secukupnya', 'bahan': 'Susu Uht'}, {'grup': 'Bahan Utama', 'jumlah': 'Secukupnya', 'bahan': 'Es Batu'}, {'grup': 'Topping', 'jumlah': 'Secukupnya', 'bahan': 'Keju Parut'}]","['Larutkan gula pasir dengan air hangat', 'Setelah tercampur rata masukkan krimer bubuk, aduk kemudian mixer sampai kental', 'Tambahkan pop ice rasanya sesuai selera kemudian mixer lagi', 'Siapkan es batu kemudian masukkan susu uht', 'Terakhir tambahkan sticky milk dan bisa di beri topping sesuai selera', 'Siap di sajikan']",30 Menit,https://cookpad.com/id/resep/24782390-sticky-milk-simple,"['sticky', 'milk', 'sesuai']"
